date,vader-sentiment,blob-sentiment
2010-08-03,0.999,0.068
2010-08-04,0.73,0.059
2010-08-05,0.598,0.155
2010-08-06,0.997,0.062
2010-08-07,0.998,0.133
2010-08-08,0.997,0.08
2010-08-09,0.988,0.063
2010-08-10,0.997,0.036
2010-08-11,0.649,0.056
2010-08-12,0.997,0.125
2010-08-13,0,0
2010-08-14,1.0,0.102
2010-08-15,0.999,0.076
2010-08-16,0.989,0.071
2010-08-17,1.0,0.06
2010-08-18,0.991,0.117
2010-08-19,0.516,0.064
2010-08-20,0.998,0.068
2010-08-21,0,0
2010-08-22,0.954,0.041
2010-08-23,0.998,0.083
2010-08-24,0.976,0.099
2010-08-25,0.948,0.064
2010-08-26,0.729,0.096
2010-08-27,0,0
2010-08-28,-0.807,0.02
2010-08-29,0.998,0.112
2010-08-30,1.0,0.084
2010-08-31,0.993,0.034
2010-09-01,0.758,0.117
2010-09-02,0.667,0.097
2010-09-03,0.59,0.06
2010-09-04,0.999,0.114
2010-09-05,0,0
2010-09-06,0.982,0.054
2010-09-07,0.982,0.092
2010-09-08,0.997,0.097
2010-09-09,0.746,0.092
2010-09-10,0.995,0.06
2010-09-11,0.997,0.061
2010-09-12,1.0,0.106
2010-09-13,0.545,0.077
2010-09-14,0,0
2010-09-15,0.581,0.116
2010-09-16,0.73,0.1
2010-09-17,0.988,0.122
2010-09-18,0,0
2010-09-19,0.999,0.046
2010-09-20,0.998,0.097
2010-09-21,0.991,0.104
2010-09-22,0.993,0.062
2010-09-23,0.988,0.068
2010-09-24,0.596,0.017
2010-09-25,0.345,0.099
2010-09-26,0.998,0.114
2010-09-27,0.993,0.111
2010-09-28,0.999,0.126
2010-09-29,0.995,0.118
2010-09-30,0.989,0.138
2010-10-01,-0.021,0.038
2010-10-02,0.998,0.127
2010-10-03,0.008,0.041
2010-10-04,1.0,0.139
2010-10-06,0.801,0.081
2010-10-07,0.521,0.118
2010-10-08,0.988,0.101
2010-10-09,0.992,0.306
2010-10-10,0,0
2010-10-11,0.597,0.104
2010-10-12,0.995,0.074
2010-10-13,0.998,0.137
2010-10-14,0.872,0.086
2010-10-15,0.997,0.112
2010-10-16,0.978,0.11
2010-10-17,0.999,0.087
2010-10-18,0.999,0.116
2010-10-19,0.972,0.104
2010-10-20,0.998,0.123
2010-10-21,0.732,0.098
2010-10-22,0.986,0.113
2010-10-23,0.997,0.089
2010-10-24,0.999,0.061
2010-10-25,0.998,0.099
2010-10-26,0.998,0.06
2010-10-27,0.999,0.057
2010-10-28,0.987,0.085
2010-10-29,0.713,0.094
2010-10-30,0,0
2010-10-31,0.999,0.035
2010-11-01,0.957,0.101
2010-11-02,0.999,0.105
2010-11-03,0.994,0.06
2010-11-04,0.997,0.116
2010-11-05,0.688,0.129
2010-11-06,1.0,0.06
2010-11-07,0.998,0.074
2010-11-08,0.941,0.095
2010-11-09,0.981,0.08
2010-11-10,0.879,0.035
2010-11-11,0.983,0.099
2010-11-12,0.499,0.099
2010-11-13,0,0
2010-11-14,0.988,0.11
2010-11-15,0.999,0.09
2010-11-16,0.35,0.042
2010-11-17,0.998,0.108
2010-11-18,0.996,0.067
